,player_name,player_url,teams,matches_played,runs_scored,hundreds,fifties,wickets,economy_rate,five_wicket_hauls,player_country,player_image,player_role,player_DOB,player_bat_hand,player_bowl_hand
309,Prasanth Parameswaran,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4124,"Kochi Tuskers Kerala, Royal Challengers Bangalore",8,1,0,0,9,8.73,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,30-05-1985,Right,Left
310,Wayne Parnell,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3642,"Pune Warriors India, Delhi Capitals, Royal Challengers Bangalore",33,65,0,0,35,7.78,0,South Africa,https://h.cricapi.com/img/players/6efb08ed-3316-40db-ad25-d8992fdf1a87.jpg,Bowler,30-07-1989,Left,Left
311,Asad Pathan,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4197,Royal Challengers Bangalore,9,39,0,0,0,9.69,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,17-06-1984,Right,Right
312,Padmanabhan Prasanth,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4109,Kochi Tuskers Kerala,1,0,0,0,0,18.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowling Allrounder,03-09-1985,Left,Left
313,Ray Price,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=2201,Mumbai Indians,1,0,0,0,0,0.0,0,Zimbabwe,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,12-06-1976,Right,Left
314,Sachin Rana,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4111,"Pune Warriors India, Royal Challengers Bangalore",11,91,0,0,0,6.75,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batting Allrounder,18-09-1984,Right,Right
315,Nathan Rimmington,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4199,Punjab Kings,1,1,0,0,0,6.33,0,Australia,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,11-11-1982,Right,Right
316,Shakib Al Hasan,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3426,"Kolkata Knight Riders, Sunrisers Hyderabad",71,793,0,2,63,7.44,0,Bangladesh,https://h.cricapi.com/img/players/f668f7ea-c720-4352-9435-840c3749b1e5.jpg,Batting Allrounder,24-03-1987,Left,Left
317,Tim Southee,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3542,"Chennai Super Kings, Rajasthan Royals, Mumbai Indians, Royal Challengers Bangalore, Kolkata Knight Riders",54,120,0,0,47,8.67,0,New Zealand,https://h.cricapi.com/img/players/52bf5e2a-1285-4bf7-a80c-52802636f0ba.jpg,Bowler,11-12-1988,Right,Right
318,Sunny Singh,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4050,Punjab Kings,6,43,0,0,0,0.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,18-12-1986,Right,Right
319,Jamaluddin Syed Mohammad,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4128,Royal Challengers Bangalore,11,29,0,0,8,8.84,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,03-06-1983,Left,Left
320,Jerome Taylor,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3122,Pune Warriors India,5,3,0,0,6,8.05,0,West Indies,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,22-06-1984,Right,Right
321,Ryan ten Doeschate,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3407,Kolkata Knight Riders,29,326,0,1,2,7.23,0,Netherlands,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batting Allrounder,30-06-1980,Right,Right
322,Alfonso Thomas,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3700,Pune Warriors India,15,20,0,0,14,7.73,0,South Africa,https://h.cricapi.com/img/players/9dd1e418-27be-4088-926d-361f28333996.jpg,Bowler,09-02-1977,Right,Right
323,Johan van der Wath,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3339,Royal Challengers Bangalore,3,18,0,0,3,10.75,0,South Africa,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowling Allrounder,10-01-1978,Right,Right
324,Matthew Wade,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3910,"Delhi Capitals, Gujarat Titans",13,179,0,0,0,0.0,0,Australia,https://h.cricapi.com/img/players/b48e91c6-bbc9-40d9-be6e-d48d4d040dd6.jpg,WK-Batsman,26-12-1987,Left,Left
325,Dishant Yagnik,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4103,Rajasthan Royals,25,170,0,0,0,0.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,WK-Batsman,22-06-1983,Left,Left
326,Ankit Sharma,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4106,"Deccan Chargers, Sunrisers Hyderabad, Rajasthan Royals, Rising Pune Supergiant",21,72,0,0,11,7.26,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,20-04-1991,Left,Left
